No,Industry,Keywords,Recommended Styles,Primary Colors,Typography,Common Symbols,Mood,Best Practices,Avoid
11,Entertainment,music gaming events media,Abstract Bold Neon Wordmark,#7C3AED #EC4899 #F59E0B,Bold display experimental,Sound waves stars abstract,Exciting dynamic creative,Vibrant unique memorable,Conservative boring static
12,Automotive,car dealership repair transport,Abstract Emblem Dynamic Mark,#DC2626 #3B82F6 #000000,Bold modern sans-serif,Speed lines wheel car silhouette,Powerful reliable dynamic,Strong clean scalable,Weak delicate complex
13,Construction,building contractor architecture,Bold Emblem Wordmark,#F97316 #CA8A04 #334155,Strong bold sans-serif,Building gear hammer tools,Strong reliable professional,Bold simple recognizable,Delicate complex trendy
14,Agriculture,farm organic produce natural,Organic Hand-Drawn Vintage Badge,#228B22 #8B4513 #DEB887,Organic friendly readable,Leaf plant sun tractor,Natural authentic sustainable,Earth tones organic shapes,Industrial cold synthetic
15,Travel Tourism,hotel airline vacation agency,Wordmark Abstract Combination,#0EA5E9 #F97316 #10B981,Clean modern friendly,Globe plane compass location,Exciting trustworthy adventurous,Vibrant clear memorable,Overly complex small details
16,Pet Care,veterinary pet shop grooming,Mascot Playful Combination,#F97316 #4ADE80 #8B5CF6,Friendly rounded sans-serif,Paw print animal silhouette heart,Friendly caring playful,Warm colors friendly shapes,Cold clinical aggressive
17,Non-Profit,charity organization foundation,Wordmark Combination Emblem,#0891B2 #10B981 #F97316,Clear readable warm,Heart hands globe people,Trustworthy caring hopeful,Clear message warm colors,Corporate cold complex
18,Gaming,esports video games streaming,Bold Neon Abstract Mascot Modern,#7C3AED #EC4899 #06B6D4,Bold display futuristic,Controller joystick abstract shapes,Exciting dynamic immersive,Vibrant unique scalable,Conservative dated boring
19,Photography,studio photographer creative,Wordmark Minimal Line Art,#000000 #FFFFFF #D4AF37,Clean elegant sans or serif,Camera aperture lens frame,Creative professional artistic,Minimal elegant timeless,Clipart trendy effects
20,Consulting,business strategy management,Wordmark Lettermark Corporate,#0F172A #3B82F6 #10B981,Professional clean sans,Abstract marks arrows charts,Professional trustworthy expert,Clean simple professional,Playful casual complex
21,E-commerce,online shop marketplace retail,Modern Abstract Wordmark,#6366F1 #F97316 #10B981,Modern friendly sans-serif,Cart bag arrow abstract,Modern trustworthy easy,Simple memorable scalable,Complex dated traditional
22,Crypto Web3,blockchain defi nft,Gradient Abstract Geometric,#8B5CF6 #06B6D4 #F97316,Modern geometric futuristic,Hexagon chain node abstract,Innovative futuristic secure,Modern unique memorable,Traditional dated conservative
23,Wedding Events,planner venue coordinator,Script Elegant Combination,#D4AF37 #F472B6 #FFFFFF,Elegant script serif,Rings heart flowers,Romantic elegant memorable,Soft elegant refined,Bold harsh industrial
24,Coffee,cafe roaster shop,Vintage Badge Wordmark Hand-Drawn,#8B4513 #2F4F4F #DEB887,Script or vintage serif,Cup beans steam circle badge,Warm artisan authentic,Warm tones heritage feel,Cold clinical modern
25,Brewery,craft beer pub taproom,Vintage Badge Emblem Hand-Drawn,#8B4513 #CA8A04 #2F4F4F,Bold vintage slab serif,Hops barrel mug wheat badge,Authentic craft heritage,Vintage feel craft aesthetic,Corporate clean modern
26,Insurance,insurance protection coverage policy,Corporate Emblem Shield Abstract,#003366 #0077B6 #10B981,Professional clean sans-serif,Shield umbrella hands family house,Trustworthy protective secure,Blue tones stability protection symbols,Playful trendy aggressive red
27,Logistics,shipping transportation freight delivery,Dynamic Abstract Wordmark Bold,#0369A1 #F97316 #1E3A8A,Bold modern sans-serif,Arrow globe truck plane box,Efficient reliable global,Motion arrows connection symbols,Static delicate complex
28,Dental,dentist clinic oral health teeth,Minimal Line Art Professional,#0891B2 #10B981 #0077B6,Clean modern sans-serif,Tooth smile cross sparkle,Clean trustworthy caring,Blue teal simple shapes,Red harsh clinical
29,Cleaning Service,maid housekeeping janitorial residential,Playful Combination Badge Mascot,#0EA5E9 #10B981 #F472B6,Friendly rounded sans-serif,Broom mop sparkle house spray,Fresh clean friendly trustworthy,Bright clean colors sparkle elements,Dark muddy harsh
30,Security,guard protection surveillance alarm,Bold Emblem Shield Corporate,#0F172A #1E3A8A #10B981,Strong bold sans-serif,Shield lock eagle key badge,Strong protective trustworthy,Dark blues greens shields eagles,Playful soft delicate
31,Energy Renewable,solar power wind green sustainable,Modern Abstract Gradient Organic,#22C55E #F97316 #0EA5E9,Clean modern sans-serif,Sun leaf wind turbine lightning,Sustainable innovative clean,Green orange nature elements,Dark industrial polluting
32,Pharmacy,drugstore medical prescription health,Professional Minimal Cross Abstract,#10B981 #0077B6 #059669,Clean professional sans-serif,Cross pill capsule heart mortar,Trustworthy caring health,Green blue teal cross symbols,Red aggressive harsh
33,Childcare,daycare nursery preschool kids,Playful Colorful Mascot Combination,#F472B6 #FBBF24 #4ADE80,Rounded friendly playful,Children tree rainbow hands sun,Warm nurturing playful safe,Bright primary colors friendly shapes,Dark corporate serious
34,Aerospace Aviation,airline airport flight aircraft,Modern Abstract Dynamic Emblem,#1E3A8A #0EA5E9 #FFFFFF,Clean modern geometric sans,Plane wing arrow globe bird,Innovative precise reliable,Blue white clean dynamic shapes,Cluttered heavy grounded
35,Jewelry,jeweler gemstone diamond luxury,Elegant Luxury Monogram Line Art,#D4AF37 #8B5CF6 #F472B6,Elegant serif thin sans,Diamond ring gem crystal hand,Elegant luxurious precious,Gold purple elegant line art,Cheap bold industrial
36,Marine Maritime,ocean shipping nautical boat,Vintage Emblem Badge Bold,#0C4A6E #0891B2 #FFFFFF,Bold serif or strong sans,Anchor ship wheel wave compass,Strong reliable nautical,Navy blue teal white anchors,Landlocked desert dry
37,Accounting,bookkeeping CPA tax financial,Corporate Wordmark Lettermark Minimal,#1E3A8A #10B981 #334155,Professional clean sans-serif,Chart graph calculator checkmark,Professional trustworthy precise,Blue green conservative charts,Playful creative chaotic
38,Music Recording,studio artist label sound,Bold Abstract Neon Dynamic,#7C3AED #EC4899 #F59E0B,Bold display creative,Sound wave note microphone vinyl,Creative energetic expressive,Vibrant unique creative shapes,Conservative corporate bland
39,Architecture,design firm building interior,Minimal Geometric Line Art Abstract,#0F172A #6366F1 #D4AF37,Clean geometric modern sans,Building structure line blueprint,Sophisticated precise creative,Clean lines geometric shapes,Cluttered ornate traditional
40,Hotel Hospitality,resort lodge accommodation lodging,Elegant Wordmark Emblem Combination,#D4AF37 #0F766E #1E3A8A,Elegant serif or modern sans,Bed key building star crown,Welcoming luxurious comfortable,Elegant warm inviting colors,Cold industrial unwelcoming
41,Telecommunications,network mobile phone internet,Modern Abstract Gradient Tech,#6366F1 #0EA5E9 #10B981,Modern geometric sans-serif,Signal wave globe connection node,Connected innovative reliable,Blue gradients tech patterns,Dated heavy disconnected
42,Biotechnology,biotech research lab science,Modern Abstract Minimal Gradient,#10B981 #6366F1 #0891B2,Clean modern scientific sans,DNA helix cell molecule leaf,Innovative precise scientific,Green blue scientific clean,Industrial polluting harsh
43,Cybersecurity,infosec data protection digital,Modern Abstract Shield Tech,#0F172A #6366F1 #10B981,Modern technical sans-serif,Shield lock key binary code,Secure trustworthy technical,Dark blues greens tech elements,Weak exposed vulnerable
44,Interior Design,decorator home staging space,Elegant Minimal Line Art Script,#D4AF37 #8B5CF6 #F472B6,Elegant serif or thin script,Chair lamp house frame,Sophisticated creative stylish,Elegant refined neutral tones,Cluttered cheap industrial
45,Laundry,dry cleaning garment care wash,Friendly Combination Badge Playful,#0EA5E9 #10B981 #F472B6,Friendly rounded sans-serif,Shirt hanger water droplet bubble,Clean fresh convenient,Blue green fresh clean,Dirty muddy harsh
46,Printing,print shop graphics copy,Bold Combination Abstract Modern,#DC2626 #0EA5E9 #F97316,Bold modern sans-serif,Printer paper CMYK drop,Creative professional reliable,Bold CMYK colors print elements,Dull monochrome static
47,Florist,flower shop botanical garden,Organic Script Elegant Hand-Drawn,#F472B6 #10B981 #F97316,Elegant script or organic,Flower leaf petal bouquet,Beautiful natural romantic,Soft natural floral colors,Industrial harsh synthetic
48,Bakery,pastry bread artisan sweets,Vintage Hand-Drawn Badge Script,#8B4513 #F97316 #DEB887,Friendly script or vintage,Wheat bread rolling pin cupcake,Warm artisan homemade,Warm brown cream gold,Cold clinical industrial
49,Landscaping,garden lawn outdoor yard,Organic Bold Combination Badge,#22C55E #8B4513 #0EA5E9,Strong friendly sans-serif,Tree leaf lawn mower sun,Natural professional reliable,Green earth tones natural,Industrial urban concrete
50,Plumbing,pipe repair water fixture,Bold Badge Combination Emblem,#0EA5E9 #F97316 #334155,Strong bold sans-serif,Pipe wrench water drop faucet,Reliable professional skilled,Blue orange professional,Weak delicate dirty
51,Electrical,electrician power wiring contractor,Bold Dynamic Badge Combination,#F97316 #FBBF24 #334155,Strong bold sans-serif,Lightning bolt plug outlet wire,Reliable skilled powerful,Orange yellow electric symbols,Weak dim powerless
52,HVAC,heating cooling ventilation air,Bold Corporate Badge Combination,#0EA5E9 #DC2626 #334155,Strong professional sans-serif,Flame snowflake fan thermometer,Reliable comfortable professional,Blue red temperature symbols,Weak uncomfortable extreme
53,Pest Control,exterminator bug removal service,Bold Badge Combination Mascot,#22C55E #DC2626 #334155,Strong bold sans-serif,Bug shield spray target,Effective reliable protective,Green red action symbols,Weak ineffective infested
54,Moving Relocation,movers packing storage transport,Bold Dynamic Combination Badge,#F97316 #0EA5E9 #334155,Strong friendly sans-serif,Box truck house arrow,Reliable efficient careful,Orange blue movement symbols,Fragile broken scattered
55,Spa Wellness,massage retreat relaxation therapy,Elegant Organic Script Minimal,#0891B2 #10B981 #F472B6,Elegant thin script or sans,Lotus water drop stone bamboo,Calm relaxing rejuvenating,Soft calming natural colors,Harsh loud aggressive
