"id","title","category","description","prompt","author","source"
"29","Social Media Post - Train-ad style book advertisement image","","A detailed Japanese prompt for generating a 16:9 business-book-style advertisement featuring a specific book image with Japanese copy points.","Please generate an advertisement image.

==== Ad specifications ===
- Aspect ratio: 16:9 (horizontal)
- Product to advertise: the book in the first attached image
- Main eye-catcher: place the book from the first attached image in a three-dimensional way
- Language: Japanese
- Taste: advertisement for a business book

# Text to include:
- Pre-head copy: 【New print run decided about one week after release】

Book “{argument name=""book_title_en"" default=""Designing from Zero with AI""}” now on sale and doing well.

Amazon Best Seller Ranking
Ranked No.1 in commercial design sales (as of 10/15)
https://t.co/QxbYpfFVj6","KAWAI","https://x.com/kawai_design/status/1992142466255114727"
"30","Social Media Post - Social Media Promo Composite Prompt","","A highly structured Nano Banana Pro prompt designed to create a composite image where a character (based on a reference image) is superimposed onto a screenshot of a social media profile page, actively pointing at the 'Follow' button. It specifies identity consistency, a high-angle selfie perspective, and detailed hand gestures to mimic pressing the subscribe button, aiming for an influencer promo style.","{
  ""edit_type"": ""creative_composite_layering"",

  ""source"": {
    ""_hint"": ""Base logic: Character (Ref 1) superimposed ON TOP OF the Background Image (Ref 2)."",
    ""mode"": ""EDIT"",
    ""reference_images"": {
      ""first"": ""foreground_character_person"",
      ""second"": ""background_scenery_or_pattern""
    },
    ""preserve_from_first"": {
      ""same_person_or_group"": true,
      ""same_faces"": true,
      ""same_hairstyles"": true,
      ""same_outfits"": true
    }
  },

  ""identity"": {
    ""keep_identity_consistent"": true,
    ""expression"": ""bright_engaging_smile_at_camera""
  },

  ""camera_effect"": {
    ""_hint"": ""High-angle selfie style, creating a sense of depth between the hand and face."",
    ""perspective"": ""high_angle_shot_looking_down"",
    ""style"": ""social_media_call_to_action"",
    ""depth_of_field"": ""focus_on_face_and_pointing_finger"",
    ""framing"": ""character_centered_with_space_at_top_right""
  },

  ""pose"": {
    ""_hint"": ""Key action: Lying down but actively pointing to the 'Follow' button area (Top Right)."",
    ""pose_style"": ""lying_down_or_reclining_on_back"",
    ""face_direction"": ""looking_directly_up_into_lens"",
    ""hand_gestures"": {
      ""right_hand_action"": ""pointing_index_finger"",
      ""target_direction"": ""upper_right_corner_45_degrees"",
      ""purpose"": ""mimicking_pressing_subscribe_button"",
      ""arm_position"": ""extended_towards_camera_top_right""
    },
    ""body_language"": ""inviting_and_energetic"",
    ""style_tags"": [
      ""kpop_idol_fan_service"",
      ""influencer_promo_style"",
      ""dynamic_perspective""
    ]
  },

  ""background_integration"": {
    ""_hint"": ""The second reference image is the background/floor."",
    ""method"": ""full_background_replacement"",
    ""target_area"": ""entire_canvas_behind_character"",
    ""content_source"": ""reference_image_second"",
    ""perspective_match"": ""flat_lay_style"",
    ""rules"": {
      ""character_must_be_top_layer"": true,
      ""leave_space_in_upper_right_for_ui"": true
    }
  },

  ""composition"": {
    ""_hi","BeautyVerse","https://x.com/BeautyVerse_Lab/status/2013490554466939282"
"31","Social Media Post - Ultra-Photorealistic Dark Influencer Realism Prompt","","A highly detailed JSON-formatted prompt for generating an ultra-photorealistic image of a female subject taking a mirror selfie in a luxury penthouse dressing room, emphasizing dark influencer realism, low light, and natural skin texture.","{
  ""meta"": {
    ""aspect_ratio"": ""9:16"",
    ""quality"": ""ultra_photorealistic"",
    ""resolution"": ""8k"",
    ""camera"": ""iPhone 15 Pro"",
    ""lens"": ""26mm"",
    ""style"": ""dark influencer realism, low light iphone look, natural skin texture, subtle grain, imperfect handheld framing""
  },

  ""scene"": {
    ""location"": ""penthouse luxury dressing room"",
    ""environment"": [
      ""floor-to-ceiling mirror panels"",
      ""black glossy wardrobe doors"",
      ""warm beige velvet chair"",
      ""open jewelry tray with scattered items"",
      ""dim city skyline visible through glass""
    ],
    ""time"": ""after midnight"",
    ""atmosphere"": ""private, expensive, post-party heat, dangerously intimate""
  },

  ""lighting"": {
    ""type"": ""low ambient + warm accent"",
    ""sources"": [
      ""warm dim lamp behind subject"",
      ""tiny LED strips inside wardrobe shelves"",
      ""faint city glow from window""
    ],
    ""direction"": ""back + side rim light shaping hips, waist and chest"",
    ""effect"": ""deep shadows, warm highlights on curves, cinematic darkness, subtle iphone noise""
  },

  ""subject"": {
    ""gender"": ""{argument name=""gender"" default=""female""}"",
    ""age_vibe"": ""young adult"",
    ""ethnicity"": ""eastern european blonde"",

    ""body"": {
      ""type"": ""slim hourglass"",
      ""chest"": ""very full and heavy presence"",
      ""waist"": ""tiny"",
      ""hips"": ""round and lifted"",
      ""legs"": ""long, smooth, elegant""
    },

    ""skin"": {
      ""tone"": ""porcelain with warm low-light glow"",
      ""texture"": ""real pores, natural sheen, not airbrushed""
    },

    ""hair"": {
      ""color"": ""platinum blonde"",
      ""style"": ""long loose waves"",
      ""details"": ""glossy highlights catching warm lamp light""
    },

    ""face"": {
      ""structure"": ""very pretty, doll-like"",
      ""expression"": ""cold calm confidence"",
      ""eyes"": ""light blue, half-lidded"",
      ""mouth"": ""full lips slightly parted"",
      ""makeup"": ""soft glam, heavy lashes, subtle contour, glossy lips""
    }
  },

  ""pose"": {
    ""overall"": ""mirror selfie, standing 3/4 angle, deep arch"",

    ""lower_body"": {
      ""legs"": ""one leg straight, other knee softly bent"",
      ""stance"": ""stable and intentional""
    },

    ""hips"": {
      ""position"": ""pushed back and slightly tilted"",
      ""effect"": ""hips dominate frame with shadow-silhouette""
    },

    ""torso"": {
      ""arch"": ""deep lower-back arch"",
      ""chest"": ""forward naturally"",
      ""posture"": ""quiet dominance, monetized confidence""
    },

    ""arms"": {
      ""one_arm"": ""hand lightly touching mirror edge"",
      ""other_arm"": ""holding phone low near hip""
    },

    ""head"": {
      ""tilt"": ""slight tilt"",
      ""gaze"": ""looking at phone screen through mirror, unbothered""
    }
  },

  ""outfit"": {
    ""clothing"": {
      ""top"": {
        ""type"": ""ultra-thin black stretch crop top"",
        ""fit"": ""tight, braless, slight transparency under warm light"",
        ""details"": ""fabric tension and subtle contour visible, tasteful but obvious""
      },
      ""bott","babydoll","https://x.com/bananababydoll/status/2013488410506179036"
"32","Social Media Post - New Year Hairstyle Grid Prompt (Female)","","A prompt for Nano Banana Pro designed to generate a 4x3 grid collage of the same female subject with various hairstyles (long straight, high ponytail, messy bun, pixie cut, etc.). It emphasizes strict facial feature consistency, neutral clothing/makeup, soft studio lighting, and photorealistic skin texture, creating a professional portrait series for hairstyle inspiration.","This is a high-quality photo collage, showing the same person with completely identical facial features and expression, displayed in multiple frames, each with a different hairstyle. Each frame displays a unique hairstyle, such as {argument name=""Hairstyle List"" default=""long straight hair, high ponytail, messy bun, pixie cut, braided crown, soft waves, short bob with bangs, low bun, side braid, and loose curls""}. All photos use uniform neutral clothing and makeup, soft studio lighting, a warm blurred background, realistic skin texture, consistent facial symmetry, extreme detail, editorial beauty style, 4x3 grid layout, professional portrait photo.","Michelle","https://x.com/Michell81147285/status/2013485190346350696"
"33","Social Media Post - Vintage Casino Glamour Portrait Prompt","","A detailed Nano Banana prompt for generating a vintage and elegant portrait of a subject seated on a high stool on a casino floor. It specifies the subject's attire (black mini slip dress with rhinestone straps, chunky platform sandals), the environment (Psychedelic patterned carpet, tufted red bar stool, slot machine marquee), and technical camera settings (direct on-camera flash, extreme low angle, 2000s digital compact camera simulation) to achieve a high-contrast, retro Las Vegas aesthetic.","{
  ""image_generation_request"": {
    ""meta_settings"": {
      ""aspect_ratio"": ""9:16"",
      ""model_version"": ""v6.0"",
      ""stylize_value"": 250,
      ""quality"": ""High""
    },
    ""subject_definition"": {
      ""identity_source"": {
        ""method"": ""Image Reference"",
        ""instruction"": ""Strictly preserve facial features and hair from the uploaded reference image.""
      },
      ""body_language"": {
        ""pose"": ""Seated on a high stool, body angled 30 degrees to the left, legs elegantly crossed at the knee to elongate the silhouette."",
        ""hands"": ""Resting casually on the upper thighs, fingers relaxed, showcasing rings."",
        ""gaze"": ""Looking slightly down towards the camera lens or directly into the flash.""
      }
    },
    ""fashion_and_styling"": {
      ""garment_main"": {
        ""item"": ""Black mini slip dress"",
        ""fabric"": ""Satin or high-sheen silk blend"",
        ""fit"": ""Skin-tight, fitted bodycon silhouette"",
        ""details"": [
          ""Spaghetti straps made of glittering rhinestones"",
          ""Deep scoop neckline"",
          ""Mini hemline exposing legs""
        ]
      },
      ""footwear"": {
        ""item"": ""Platform sandals"",
        ""style"": ""Chunky block heel, 1990s/Y2K inspired"",
        ""material"": ""Black patent leather or satin"",
        ""details"": ""Silver buckle ankle strap, open toe""
      }
    },
    ""jewelry"": {
      ""ears"": ""Oversized sterling silver hoop earrings"",
      ""hands"": ""Multiple delicate silver stacking rings""
    }
    },
    ""environmental_context"": {
      ""location"": ""Vintage Casino Floor"",
      ""flooring"": {
        ""type"": ""Patterned carpeting"",
        ""texture"": ""Worn nylon"",
        ""design"": ""Psychedelic swirls in teal, burnt orange, and royal blue"",
        ""vibe"": ""Retro Las Vegas aesthetic""
      },
      ""furniture"": {
        ""item"": ""Casino bar stool"",
        ""material"": ""Tufted red faux leather seat"",
        ""base"": ""Tarnished bronze or gold metal pedestal with footrest""
      },
      ""props_and_background"": {
        ""primary_prop"": ""Slot machine"",
        ""prop_details"": ""Illuminated marquee reading '{argument name=""Slot Machine Marquee"" default=""TRIPLE JACKPOT GEMS""}', glowing buttons, glass screen reflections"",
        ""atmosphere"": ""Smoky, crowded, dimly lit background with bokeh lights from other machines""
      }
    },
    ""photography_technical"": {
      ""camera_simulation"": ""Early 2000s Digital Compact Camera (e.g., Sony Cybershot or Canon PowerShot)"",
      ""lighting_style"": {
        ""type"": ""Direct On-Camera Flash"",
        ""characteristics"": [
          ""Harsh shadows directly behind the subject"",
          ""High contrast"",
          ""Overexposed specular highlights on skin and fabric"",
          ""Vignetted corners""
        ]
      },
      ""composition"": {
        ""angle"": ""Extreme low angle (Worm's-eye view)"",
        ""focus"": ""Sharp focus on subject, slight blur on background"",
        ""framing"": ""Full body shot emphasizin","Adam也叫吉米","https://x.com/Adam38363368936/status/2013406753770119423"
"34","Social Media Post - Cozy Retro Loungewear with Shaggy Faux Fur","","A prompt for Nano Banana Pro focused on generating an image of 'ultimate loungewear' with a cozy, fashion magazine aesthetic. The key technique is layering the terms 'Shaggy faux fur' and 'Long pile' to achieve maximum fluffiness, combined with retro furniture for a stylish, comfortable atmosphere.","Generated the 'ultimate loungewear' image. The key is layering ""{argument name=""material1"" default=""Shaggy faux fur""}"" and ""{argument name=""material2"" default=""Long pile""}"" to achieve this fluffy texture. Combined with retro furniture, it creates a Cozy atmosphere reminiscent of a fashion magazine.","はると@AIクリエイター","https://x.com/ai_buty/status/2013392950676594917"
"35","Social Media Post - Stewardess Private Jet Mobile Photography Editorial","","A highly detailed JSON prompt for generating a hyper-realistic mobile photography image (iPhone 15 Pro Max aesthetic) of a voluptuous stewardess on an airport tarmac next to a private jet. It specifies her attire (navy pencil skirt, hint of lace bikini top), dynamic pose, hard afternoon sunlight, and a candid social media aesthetic.","[
  {
    ""metadata"": {
      ""title"": ""Stewardess Private Jet Editorial"",
      ""style"": ""Hyper-Realistic Mobile Photography"",
      ""target_device"": ""iPhone 15 Pro Max""
    },
    ""subject"": {
      ""age"": ""Mid-30s"",
      ""ethnicity"": ""Caucasian/Mediterranean mix"",
      ""hair"": {
        ""style"": ""Long ombre waves"",
        ""color"": ""Brunette roots transitioning to sun-kissed blonde tips"",
        ""texture"": ""Voluminous and soft""
      },
      ""physique"": {
        ""body_type"": ""Fit voluptuous hourglass"",
        ""bust"": ""Full natural volume, prominent cleavage"",
        ""features"": ""Deeply curved hips, toned waist, radiant skin texture""
      },
      ""makeup"": ""Light natural aesthetic, soft mascara, nude lip gloss, subtle glowy highlighter"",
      ""expression"": ""Confident, alluring, slight playful smile""
    },
    ""pose"": {
      ""description"": ""Dynamic 'girl pose'"",
      ""hand_placement"": {
        ""right_hand"": ""Firmly on the waist to accentuate hip curve"",
        ""left_hand"": ""Raised gracefully above her head, fingers slightly spread""
      },
      ""posture"": ""Weight shifted to one leg, slight arch in the back""
    },
    ""attire"": {
      ""outerwear"": ""Professional navy blue stewardess uniform, tailored blazer draped over shoulders or omitted"",
      ""top"": ""Crisp white button-down shirt, unbuttoned at the top to create a slight decolletage"",
      ""undergarment"": ""Visible hint of a black patterned lace bikini top peeking through the shirt opening"",
      ""bottom"": ""High-waisted navy pencil skirt, tight fit"",
      ""accessories"": ""Small gold hoop earrings, delicate gold necklace""
    },
    ""environment"": {
      ""location"": ""Airport tarmac, beside a luxury private jet"",
      ""jet_details"": ""Sleek metallic white fuselage, chrome accents, airstair door deployed"",
      ""background"": ""Clear blue sky, distant runway heat haze, sun-drenched concrete""
    },
    ""photography"": {
      ""camera_model"": ""iPhone 15 Pro, Main Camera"",
      ""focal_length"": ""24mm wide angle"",
      ""lighting"": ""Hard afternoon sunlight, natural shadows, high contrast, slight lens flare"",
      ""technical_traits"": ""Deep depth of field, sharp skin micro-texture, mobile HDR processing, 4k resolution, candid social media aesthetic"",
      ""composition"": ""Full body shot, slightly low angle to emphasize height and curves""
    }
  }
]","Maya","https://x.com/mayadelmare/status/2013382894891212811"
"36","Social Media Post - Ana de Armas Inspired Office Editorial Portrait","","A highly detailed JSON prompt for generating a hyper-realistic, magazine-cover-quality close-up portrait of a woman inspired by Ana de Armas. It specifies a vivid red two-piece outfit, athletic build, glossy skin with a subtle sweat sheen, and a softly blurred office background with stacks of papers, using studio cinematic lighting.","{
  ""type"": ""image_generation_prompt"",
  ""concept"": {
    ""description"": ""Hyper-realistic, magazine-cover-quality close-up portrait of a beautiful woman with features inspired by {argument name=\""celebrity name\"" default=\""Ana de Armas\""}"",
    ""intent"": ""High-fashion editorial photography with cinematic realism"",
    ""originality_note"": ""The subject is a look-alike inspired by Ana de Armas, not an exact replica""
  },
  ""subject"": {
    ""gender"": ""female"",
    ""age_range"": ""early 30s"",
    ""ethnicity"": ""Latina / Cuban-Spanish inspired"",
    ""facial_features"": {
      ""structure"": ""soft oval face, elegant cheekbones, delicate jawline"",
      ""eyes"": ""large almond-shaped eyes, warm brown tone, relaxed eyelids"",
      ""lips"": ""full, natural lips slightly parted"",
      ""expression"": ""languid, calm, subtly seductive, relaxed confidence""
    },
    ""body_visibility"": {
      ""framing"": ""close-up portrait extending below the waist"",
      ""posture"": ""upright but relaxed, natural editorial pose""
    }
  },
  ""body"": {
      ""build"": ""Athletic and lean"",
      ""musculature"": [
        ""Defined abdominal muscles"",
        ""Toned arms"",
        ""Firm thighs""
   },
  ""wardrobe"": {
    ""outfit_type"": ""two-piece outfit"",
    ""color"": ""deep vivid red"",
    ""top"": {
      ""style"": ""fitted, minimal, fashion-forward"",
      ""fabric"": ""smooth, slightly reflective material""
    },
    ""bottom"": {
      ""style"": ""mini skirt"",
      ""fit"": ""form-fitting, modern cut"",
      ""visibility"": ""clearly visible below the waist""
    }
  },
  ""skin_and_texture"": {
    ""skin_quality"": ""highly detailed, natural pores visible"",
    ""finish"": ""glossy, luminous"",
    ""effect"": ""subtle sweat or oil sheen on torso and chest, enhancing realism"",
    ""tone"": ""warm, healthy glow""
  },
  ""hair_and_makeup"": {
    ""hair"": {
      ""style"": ""softly styled, loose waves"",
      ""color"": ""deep brown"",
      ""texture"": ""natural shine with slight movement""
    },
    ""makeup"": {
      ""style"": ""editorial glamour"",
      ""details"": ""dewy skin, softly defined eyes, natural lips with slight gloss""
    }
  },
  ""background"": {
    ""environment"": ""indoor setting"",
    ""primary_elements"": [
      ""desk or table surface"",
      ""stacks of papers""
    ],
    ""paper_details"": {
      ""brightness"": ""partially bright white"",
      ""arrangement"": ""slightly messy, layered stacks"",
      ""focus"": ""softly blurred to maintain subject dominance""
    },
    ""depth_of_field"": ""shallow, cinematic bokeh""
  },
  ""lighting"": {
    ""style"": ""studio cinematic lighting"",
    ""key_light"": ""soft but directional, highlighting facial structure"",
    ""fill_light"": ""gentle fill to preserve skin detail"",
    ""highlights"": ""accentuated on glossy skin areas"",
    ""shadows"": ""soft, controlled, magazine-style contrast""
  },
  ""camera"": {
    ""shot_type"": ""close-up portrait"",
    ""lens"": ""85mm prime lens"",
    ""aperture"": ""f/1.8"",
    ""focus"": ""tack-sharp on eyes"",
    ""sens""
  }
}","KeorUnreal","https://x.com/KeorUnreal/status/2013362480471314461"
"37","Social Media Post - iPhone Mirror Selfie Photography Prompt for Character Replacement","","A highly detailed JSON-formatted prompt designed to generate an ultra-realistic iPhone mirror selfie. It specifies complex technical parameters like 8K resolution, Apple Smart HDR processing, and detailed subject attributes (pose, clothing, texture) while explicitly requiring the replacement of the default subject with a provided reference character, making it ideal for identity-locked image generation.","{
  ""prompt_type"": ""iphone_mirror_selfie_photography"",
  ""capture_device"": {
    ""device"": ""iPhone Pro"",
    ""camera_mode"": ""Mirror Selfie - Portrait"",
    ""lens_equivalent"": ""iPhone rear wide lens"",
    ""processing"": ""Apple Smart HDR + Deep Fusion"",
    ""look"": ""natural, clean, realistic mirror reflection""
  },
  ""quality"": {
    ""resolution"": ""8K"",
    ""sharpness"": ""high natural sharpness"",
    ""detail_level"": ""extreme fine detail"",
    ""texture"": ""real fabric, real skin texture"",
    ""noise"": ""very subtle natural iPhone sensor noise"",
    ""dynamic_range"": ""balanced highlights and shadows""
  },
  ""subject"": {
    ""type"": ""female character"",
    ""identity"": ""{argument name=""reference character"" default=""REFERENCE_CHARACTER""}"",
    ""replacement_instruction"": ""Replace the original girl with the provided reference character while keeping pose, body proportions, lighting, reflection and realism"",
    ""age"": ""adult"",
    ""body"": {
      ""build"": ""fit, feminine, natural curves"",
      ""proportions"": ""realistic human anatomy"",
      ""skin"": ""natural skin texture, visible pores, no smoothing""
    },
    ""expression"": {
      ""emotion"": ""calm, confident, relaxed"",
      ""face"": ""neutral soft expression"",
      ""gaze"": ""looking at phone screen through mirror""
    },
    ""pose"": {
      ""position"": ""sitting on bed edge"",
      ""legs"": ""together, feet touching the floor"",
      ""arms"": ""one hand holding phone, other hand resting on bed"",
      ""posture"": ""upright but relaxed""
    },
    ""hair"": {
      ""style"": ""long, softly wavy"",
      ""texture"": ""natural volume, individual strands visible""
    }
  },
  ""clothing"": {
    ""outfit"": ""tight one-piece bodysuit"",
    ""design"": ""{argument name=""bodysuit design"" default=""black base with red spider-web pattern""}"",
    ""fit"": ""form-fitting, athletic"",
    ""fabric"": {
      ""material"": ""stretch synthetic fabric"",
      ""texture"": ""smooth with subtle sheen"",
      ""behavior"": ""naturally hugging the body""
    }
  },
  ""environment"": {
    ""location"": ""minimal modern bedroom"",
    ""mirror"": ""full-length wooden frame mirror"",
    ""bed"": {
      ""style"": ""simple wooden bed frame"",
      ""bedding"": ""neutral patterned duvet""
    },
    ""floor"": ""light wooden floor"",
    ""decor"": ""minimalist, clean, warm-toned interior"",
    ""atmosphere"": ""quiet, cozy, private indoor space""
  },
  ""lighting"": {
    ""primary_light"": ""warm indoor ambient lighting"",
    ""secondary_light"": ""soft ceiling or wall light"",
    ""style"": ""iPhone indoor Smart HDR"",
    ""shadows"": ""soft and natural"",
    ""white_balance"": ""warm neutral indoor tones""
  },
  ""camera"": {
    ""angle"": ""straight-on mirror angle"",
    ""distance"": ""full body visible in mirror"",
    ""framing"": ""full body mirror selfie"",
    ""depth_of_field"": ""natural shallow depth from portrait processing"",
    ""focus"": ""sharp focus on subject reflection""
  },
  ""style"": {
    ""genre"": ""realistic iPhone mirror selfie"",
    ""aesthetic"": ""clean, modern, social media realistic"",
    ""color_science"": ""Apple natura","Clara","https://x.com/veclaraa/status/2013362053948268625"
"38","Social Media Post - Seductive Cyberpunk Beauty Portrait Prompt","","A complex, detailed prompt for generating a seductive, high-fashion cyberpunk beauty portrait. It emphasizes intense neon lighting (magenta-pink and electric blue), volumetric effects (god rays, lens flares), high contrast, and specific technical details (Sony A1, 85mm f/1.4, prism filter, chromatic aberration). The prompt also includes a comprehensive negative prompt list and requires using a reference face.","{
""Use the face from the reference image as is.""
  ""main_prompt"": ""seductive cyberpunk beauty portrait in intense neon lighting, young woman in her early 20s with fair porcelain skin and subtle natural glow, long wavy dark auburn/reddish-brown hair cascading loosely over bare shoulders, eyes closed in dreamy ecstasy with long thick lashes, soft parted glossy lips in nude-pink, delicate makeup with subtle smokey eyes and contoured cheeks, topless with bare shoulders and upper back visible, skin bathed in vibrant {argument name=""neon color 1"" default=""magenta-pink""} and {argument name=""neon color 2"" default=""electric blue""} neon glows, strong rim light in hot pink outlining hair, neck and collarbone, volumetric god rays and lens flares in pink-purple spectrum cutting through misty air, deep blue-purple shadows contrasting with bright neon highlights, futuristic neon club or studio background with glowing pink and blue tubes, heavy chromatic aberration on edges creating rainbow prismatic fringes, subtle digital glitch and bloom effects, photorealistic yet highly stylized, ultra-detailed skin texture with realistic pores, subtle freckles and natural imperfections, individual hair strands catching neon reflections and subsurface scattering, cinematic color grading with dominant hot magenta-pink and electric blue, high contrast HDR look, film grain light, moody sensual cyber-noir aesthetic, shot on Sony A1 with 85mm f/1.4 lens through prism filter, shallow depth of field focus on face and hair with creamy bokeh on neon background, high fashion editorial meets vaporwave cyberpunk fantasy, intimate ethereal vibe"",
  ""negative_prompt"": ""blurry, lowres, deformed hands, extra fingers, fused fingers, bad anatomy, poorly drawn face, bad proportions, extra limbs, mutated hands, ugly, disfigured, tiling, out of frame, jpeg artifacts, signature, watermark, text, error, cropped, worst quality, low quality, cartoon, anime, 3d render, plastic skin, doll-like, airbrushed skin, overexposed neon washout, underexposed, flat lighting, harsh shadows, pale skin without glow, heavy makeup overload, instagram face, duck lips, smiling happy expression, elderly, child, male, group shot, natural daylight, clean white background, no neon glow, matte skin, desaturated colors, monochrome, cheap effects, synthetic look, visible clothing coverage on upper body, long straight hair, blonde/red mismatch, no chromatic aberration, boring composition"",
  ""style_tags"": [
    ""photorealistic cyberpunk"",
    ""intense magenta-pink and electric blue neon"",
    ""volumetric god rays and lens flares"",
    ""chromatic aberration heavy"",
    ""seductive closed-eyes expression"",
    ""bare shoulders and back focus"",
    ""high contrast neon glamour"",
    ""vaporwave meets high fashion"",
    ""cinematic HDR grading"",
    ""subtle film grain"",
    ""ethereal sensual fantasy""
  ],
  ""technical"": {
    ""aspect_ratio"": ""3:4 or 4:5 (vertical neon portrait / wallpaper style)"",
    ""lighting"": ""multi-source neon: strong magenta-pink key from side/front creating rim light a","Lex","https://x.com/katmanai/status/2013356556281164257"
"39","Social Media Post - Moody Underground Corridor Portrait","","A prompt for generating a stylized mid-shot of a man in a dim underground corridor, using high-contrast lighting where sharp beams of white light cut through drifting dust, partially carving his silhouette. It requires the AI to strictly use an uploaded reference image for the face and maintain a cinematic, futuristic, and moody atmosphere.","Create a 4:5 stylized mid-shot of a man standing in a dim underground corridor. Vertical gaps in a metal wall cast sharp beams of white light through drifting dust, partially carving his silhouette. Use the uploaded reference image for the face and do not change any facial features or identity. He wears a dark graphite bomber jacket with subtle metallic texture. High contrast lighting, deep shadows, cinematic and futuristic tension, moody atmosphere, realistic materials and skin texture.","Hatman 🎩","https://x.com/hatman/status/2013355785305366538"
"40","Social Media Post - Charli D’Amelio High-Contrast Editorial Portrait","","A prompt designed to replace a subject with Charli D'Amelio, maintaining a specific pose and expression (snarling, playful, over-the-shoulder shot). It details her exact facial features, makeup, hair, and uses harsh frontal flash lighting for a high-contrast editorial studio look.","Replace the subject with {argument name=""subject name"" default=""Charli D'Amelio""}. Maintain the exact snarling, playful expression with the nose scrunched and mouth slightly open, showing teeth. The pose is a high-angle over-the-shoulder shot; her body is turned away from the camera, exposing her back, while her head is turned back toward the lens. Her right hand is brought up to her left shoulder, fingers spread and slightly tensed, showcasing rings and hand tattoos.
Charli D’Amelio’s specific facial features—round brown eyes, distinctive nose shape, and natural skin texture with subtle freckles—are integrated into the existing makeup style, which features sharp, winged eyeliner and neutral lips. Her hair is a deep brunette, styled in the same voluminous half-up, half-down look with a slight wave. The lighting is a harsh, direct frontal flash typical of editorial studio photography, creating sharp shadows against the plain off-white wall and highlighting skin porosity and fine details. She wears the same dark, shimmering velvet or lace-textured garment.","QuestGlitch","https://x.com/AIRevSpot/status/2013355749733474497"
"41","Social Media Post - Cinematic Romcom Scene on a Carousel with Identity Lock","","A complex, highly constrained JSON prompt for Nano Banana Pro designed to generate an ultra-photorealistic cinematic scene of a couple on an indoor carousel at night. It mandates strict identity locking based on two uploaded reference images, specific camera settings (35mm, f/2.0), warm tungsten lighting, and detailed constraints on pose and environment to achieve a romcom aesthetic.","{
  ""generation_request"": {
    ""meta_data"": {
      ""tool"": ""NanoBanana Pro"",
      ""task_type"": ""photoreal_cinematic_carousel_couple_close_scene"",
      ""version"": ""v1.0_CAROUSEL_RIDE_ROMCOM_WARM_LIGHTS_POSE_LOCK"",
      ""priority"": ""highest""
    },
    ""references"": {
      ""female_reference_image"": {
        ""slot"": 1,
        ""purpose"": ""FEMALE_IDENTITY_LOCK"",
        ""strict_identity_lock"": true,
        ""no_beautify"": true
      },
      ""male_reference_image"": {
        ""slot"": 2,
        ""purpose"": ""MALE_IDENTITY_LOCK"",
        ""strict_identity_lock"": true,
        ""no_beautify"": true
      },
      ""composition_reference_image"": {
        ""source"": ""UPLOAD_REFERENCE_IMAGE (OPTIONAL)"",
        ""purpose"": ""EXACT_COMPOSITION_LIGHTING_WARDROBE_ENV_LOCK"",
        ""strict_lock"": true,
        ""no_layout_drift"": true,
        ""preserve_framing"": true
      }
    },
    ""output_settings"": {
      ""aspect_ratio"": ""4:5"",
      ""orientation"": ""portrait"",
      ""resolution"": ""ultra_high_res"",
      ""render_style"": ""ultra_photoreal_cinematic_lifestyle"",
      ""sharpness"": ""crisp_faces_natural_texture"",
      ""film_grain"": ""subtle_analog"",
      ""color_grade"": ""warm_carnival_golden""
    },
    ""hard_constraints"": [
      ""Exactly 2 people only (one female, one male)."",
      ""Faces must match the uploaded references with maximum similarity (no morphing, no identity drift)."",
      ""Photorealistic only: natural skin texture, no beauty filter, no plastic smoothing."",
      ""Carousel setting: visible ornate ceiling + warm bulbs + carousel poles + painted horses."",
      ""Match the reference pose logic: couple on carousel horses, looking at each other and smiling."",
      ""No readable text, no logos, no watermark."",
      ""Correct anatomy: hands gripping pole naturally, realistic posture seated on carousel horse.""
    ],
    ""camera"": {
      ""style"": ""cinematic lifestyle photo"",
      ""lens"": ""35mm"",
      ""aperture"": ""f/2.0"",
      ""focus"": ""sharp on both faces, gentle falloff to background"",
      ""shutter_speed"": ""1/125"",
      ""iso"": 800,
      ""white_balance"": ""warm_tungsten_carnival""
    },
    ""lighting"": {
      ""type"": ""carousel bulbs + warm ambient"",
      ""contrast"": ""medium"",
      ""highlights"": ""soft specular on hair and denim, controlled on skin"",
      ""shadows"": ""soft, natural falloff""
    },
    ""prompt"": {
      ""scene_summary"": ""Ultra-photoreal cinematic romcom scene on an indoor carousel at night. The ornate carousel ceiling fills the top of frame with classic decorative molding and rows of warm glowing bulbs. In the foreground, a painted carousel horse head and pole are visible, with rich vintage details (gold trim, colorful saddle accents). \n\nTwo people only: the male sits slightly lower on a carousel horse, holding the vertical pole with both hands and looking up at the female with a soft smile. The female sits on the neighboring horse, leaning slightly toward him, smiling back warmly. Their faces are","Özge Döner","https://x.com/astronomerozge1/status/2013351484008620139"
