No,Style Name,Category,Keywords,Primary Colors,Secondary Colors,Typography,Effects,Best For,Avoid For,Complexity,Era
11,Hand-Drawn,Illustrated,"organic, authentic, imperfect, artisan",Earth tones warm colors,Natural palette,Script or hand-lettered,"Sketched, brush strokes, uneven lines",Artisan products bakeries creative brands,Corporate tech professional,Medium,Timeless
12,Geometric,Modern,"shapes, mathematical, precise, structured",Bold primary colors,Contrasting accent,Geometric sans-serif,"Clean angles, perfect shapes, symmetry",Tech architecture modern brands,Organic natural brands,Low,Modern
13,Gradient,Modern,"color transition, vibrant, dynamic, dimensional",Multi-color spectrum,Smooth transitions,Modern sans-serif,"Color flow, blur effects, 3D depth",Tech apps social media modern brands,Traditional conservative industries,Medium,2015-Present
14,Flat Design,Modern,"2D, solid colors, no shadows, minimal",Bright solid colors,Limited palette 3-4 max,Clean sans-serif,"No gradients, no shadows, simple shapes",Apps websites digital products,Luxury traditional premium,Low,2010s-Present
15,3D/Isometric,Modern,"dimensional, perspective, layered, technical",Cool tech colors,Highlight shadows,Modern geometric,"Depth, shadows, highlights, perspective",Tech gaming architecture firms,Simple classic brands,High,2018-Present
16,Negative Space,Clever,"hidden element, dual meaning, optical illusion",Usually 2 colors max,High contrast pairs,Clean readable font,"Clever cutouts, figure-ground reversal",Creative agencies clever brands,Straightforward industries,Medium,Timeless
17,Line Art,Minimal,"outline, single weight, continuous, elegant",#000000 or single color,Monochromatic,Thin weight sans-serif,"Stroke only, no fills, continuous lines",Fashion beauty boutique brands,Bold energetic brands,Low,Modern
18,Neon/Glow,Aesthetic,"vibrant, electric, nightlife, digital",#FF00FF #00FFFF #39FF14,Dark backgrounds,Bold display typeface,"Glow effect, light emission, bright",Entertainment nightlife gaming,Corporate healthcare traditional,Medium,1980s/Modern
19,Brutalist,Bold,"raw, stark, bold, anti-design",#FF0000 #0000FF #FFFF00 #000000,Primary colors only,Heavy bold sans-serif,"No effects, raw, bold blocks",Art creative counter-culture tech blogs,Conservative corporate healthcare,Low,1950s/2020s Revival
20,Luxury/Premium,Aesthetic,"elegant, sophisticated, high-end, refined",#000000 #FFFFFF #FFD700,Gold silver metallics,Elegant serif thin sans,"Foil, emboss, minimal, premium feel",Fashion jewelry luxury real estate,Budget mass-market casual,Medium,Timeless
21,Playful/Fun,Aesthetic,"colorful, whimsical, energetic, youthful",Rainbow bright palette,Multi-color variety,Rounded bubbly typeface,"Bouncy, irregular, decorative elements",Children brands toys entertainment,Serious finance legal medical,Medium,Various
22,Corporate/Professional,Business,"trustworthy, stable, serious, established",#003366 #666666 #FFFFFF,Conservative blues grays,Clean professional sans,"Subtle, refined, balanced",Financial legal consulting corporate,Creative entertainment youth,Low,Classic
23,Tech/Digital,Industry,"modern, innovative, forward, digital",#0080FF #00D4FF #6366F1,Gradient tech colors,Geometric modern sans,"Circuit, pixel, data visualization",Technology startups software apps,Traditional handmade artisan,Medium,Modern
24,Organic/Natural,Aesthetic,"flowing, nature, sustainable, eco",#228B22 #8B4513 #87CEEB,Earth tones greens,Organic flowing typeface,"Leaf, water, natural textures",Eco brands wellness organic food,Industrial tech urban,Medium,Timeless
25,Swiss/International,Design,"grid-based, rational, clean, functional",#000000 #FFFFFF neutral,Minimal color use,Helvetica style sans-serif,"Grid alignment, mathematical spacing",Corporate design professional,Decorative playful brands,Low,1950s-Present
26,Bauhaus,Design,"geometric, functional, primary colors, modernist",#FF0000 #FFFF00 #0000FF #000000,Primary colors only,Geometric sans-serif,"Circles squares triangles, functional",Architecture design schools modern brands,Traditional ornate decorative,Medium,1920s-1930s
27,Grunge,Aesthetic,"distressed, rough, textured, alternative",Dark muted colors,Earth tones blacks,Distressed or stencil type,"Scratched, worn, dirty textures",Music alternative fashion street brands,Luxury corporate clean,Medium,1990s
28,Watercolor,Artistic,"soft, artistic, fluid, organic",Soft pastel washes,Blended transitions,Script or delicate serif,"Paint bleeding, soft edges, artistic",Art galleries wedding florists beauty,Tech corporate industrial,High,Artistic
29,Monogram Luxury,Typography,"intertwined initials, fashion, heritage",#000000 #FFD700 #FFFFFF,Gold black combinations,Custom serif letterforms,"Interlocking, overlapping, refined",Fashion houses luxury brands hotels,Casual budget consumer,Medium,Classic
30,Vintage Badge,Retro,"circular, heritage, authentic, craft",#8B4513 #2F4F4F #D4AF37,Muted vintage palette,Serif or slab serif,"Banners, stars, established dates",Breweries coffee shops craft brands,Modern minimalist tech,High,1900s-1950s
31,Responsive/Adaptive,Modern,"scalable, flexible, multi-format",Brand-specific,Consistent across sizes,Legible at all sizes,"Multiple lockups, favicon version",Digital-first brands multi-platform,Print-only traditional,Medium,2015-Present
32,Motion-Ready,Digital,"animated, dynamic, kinetic, digital",Vibrant animated-friendly,Colors that transition well,Sans-serif legible in motion,"Designed for animation, morphing shapes",Digital brands apps social media,Static print-only brands,High,2018-Present
33,Duotone,Modern,"two-color, high contrast, bold, graphic",Two contrasting colors,No additional colors,Bold sans-serif,"Two-color overlay, high contrast",Graphic design music modern brands,Multi-color needs complex imagery,Low,2016-Present
34,Split/Fragmented,Experimental,"broken, deconstructed, modern, artistic",Bold contrasting,Highlight fragments,Modern experimental type,"Sliced, separated, glitch-like",Creative agencies art design studios,Conservative traditional corporate,High,2018-Present
35,Outline/Stroke,Minimal,"hollow, transparent, modern, light",Single color or gradient,Background contrast,Matching weight typeface,"Stroke only, no fill, see-through",Fashion tech modern minimal brands,Bold impactful needs,Low,Modern
36,Stamp/Seal,Vintage,"official, authentic, approved, certified",#8B0000 #000080 #006400,Ink-like colors,Bold condensed typeface,"Circular, aged, ink texture",Artisan coffee postal craft brands,Modern digital tech,Medium,Classic
37,Calligraphic,Typography,"flowing, elegant, hand-written, artistic",#000000 gold metallics,Minimal accent colors,Custom calligraphy,"Flourishes, swashes, elegant strokes",Wedding luxury fashion beauty,Tech corporate industrial,High,Timeless
38,Pixel Art,Digital,"8-bit, retro gaming, nostalgic, digital",Bright limited palette,Classic game colors,Pixel or blocky typeface,"Pixelated, grid-based, retro game feel",Gaming retro apps indie games,Luxury professional corporate,Medium,1980s Revival
39,Symmetrical,Balanced,"mirror, balanced, harmonious, stable",Balanced color scheme,Matching halves,Centered balanced type,"Perfect mirror, radial symmetry",Corporate wellness balanced brands,Dynamic energetic brands,Low,Timeless
40,Asymmetrical,Dynamic,"unbalanced, modern, dynamic, interesting",Bold accent placement,Contrasting weights,Off-center experimental,"Intentional imbalance, visual tension",Creative modern art fashion,Traditional stable corporate,Medium,Modern
41,Mascot Modern,Character,"simplified mascot, flat character, friendly",Bright character colors,Supporting brand colors,Rounded friendly sans,"Flat design mascot, simple shapes",Tech apps startups modern food brands,Serious luxury traditional,Medium,2015-Present
42,Monoline,Minimal,"single line weight, consistent, clean",Single color typically,Monochromatic,Matching weight typeface,"Uniform stroke, no weight variation",Coffee shops boutiques craft brands,Bold impactful industrial,Low,Modern
43,Letterform,Typography,"single letter, initial, bold statement",Brand primary color,Background contrast,Custom letter design,"One letter, modified, distinctive",Personal brands design studios agencies,Multi-initial brands corporations,Medium,Classic
44,Wordmark Script,Typography,"handwritten, signature, personal, elegant",#000000 or gold,Minimal supporting,Custom script typeface,"Flowing, connected, signature-like",Fashion designers personal brands,Corporate tech industrial,Medium,Timeless
45,Crest/Heraldic,Traditional,"coat of arms, royal, established, heritage",#1E3A8A #8B0000 #FFD700,Traditional regal colors,Serif blackletter,"Shield, crown, banners, symbols",Universities sports teams luxury brands,Modern casual startups,High,Classic
46,Circular,Shape,"round, infinite, complete, unified",Enclosed palette,Internal colors,Curved or circular type,"Full circle, badge-like, contained",Global brands apps communities,Angular sharp brands,Medium,Timeless
47,Hexagonal,Shape,"modern, tech, honeycomb, structured",Tech-forward colors,Geometric accent,Modern geometric sans,"Six-sided, tessellating, tech feel",Tech blockchain chemical science,Traditional organic natural,Medium,Modern
48,Dynamic Mark,Motion,"movement, speed, progress, forward",Energetic warm colors,Motion blur colors,Italic or forward-leaning,"Motion lines, implied movement",Sports logistics transportation,Static calm wellness,Medium,Modern
49,Eco/Sustainable,Values,"green, sustainable, recycling, earth-friendly",#228B22 #8FBC8F #2E8B57,Natural greens browns,Organic rounded typeface,"Leaf, recycle, earth, natural elements",Eco brands organic sustainable business,Luxury industrial chemical,Medium,2000s-Present
50,Healthcare/Medical,Industry,"trust, care, health, professional",#0077B6 #00A896 #FFFFFF,Calming blues greens,Clean professional sans,"Cross, heart, human figures, care",Hospitals clinics health wellness,Entertainment gaming fashion,Medium,Classic
51,Legal/Financial,Industry,"trust, stability, establishment, serious",#003366 #1E3A8A #4A5568,Navy blue conservative,Traditional serif,"Scales, pillars, shields, professional",Law firms banks financial services,Playful creative casual,Low,Classic
52,Food/Restaurant,Industry,"appetizing, warm, inviting, delicious",#DC2626 #F97316 #CA8A04,Warm appetizing colors,Friendly readable type,"Utensils, chef hat, food imagery",Restaurants cafes food delivery,Tech healthcare professional,Medium,Various
53,Real Estate,Industry,"home, trust, growth, property",#0F766E #0369A1 #000000,Blues greens professional,Clean professional sans,"House, roof, key, door imagery",Property agencies home services,Entertainment gaming tech,Medium,Classic
54,Education,Industry,"knowledge, growth, trust, achievement",#4F46E5 #7C3AED #059669,Blues purples greens,Clear readable typeface,"Book, cap, torch, learning symbols",Schools universities edtech,Entertainment luxury consumer,Medium,Classic
55,Music/Entertainment,Industry,"dynamic, creative, expressive, bold",#7C3AED #EC4899 #F59E0B,Vibrant expressive colors,Bold display typeface,"Sound waves, notes, dynamic shapes",Labels studios streaming venues,Corporate healthcare financial,Medium,Various
